"INCIDENT_ID","REPORTDATE","INCIDENT_ADDRESS","DISTRICT_ID","PRECINCT_ID","OFFENSE_CATEGORY_ID","MJ_RELATION_TYPE","NEIGHBORHOOD_ID"
"2014679515",2014-12-24,"4105 N JASON ST, Denver, CO","1","112","Burglary","INDUSTRY
","sunnyside"
"2014498488",2014-09-20,"2424 E 43RD AVE, Denver, CO","2","212","Burglary","INDUSTRY
","elyria-swansea"
"201690330",2016-02-12,"2193 W EVANS AVE, Denver, CO","4","422","Burglary","INDUSTRY
","college-view-south-platte"
"2016403549",2016-06-27,"2420 S COLORADO BLVD, Denver, CO","3","314","Burglary","INDUSTRY
","university-hills"
"201318891",2013-01-12,"9700 E ILIFF AVE, Denver, CO","3","323","Robbery-Street-Res","NON-INDUSTRY
","hampden"
"20122767",2012-01-03,"3900 E 48TH AVE, Denver, CO","2","212","Burglary","INDUSTRY
","elyria-swansea"
"2016420936",2016-07-04,"3880 N HOLLY ST, Denver, CO","2","221","Burglary","INDUSTRY
","northeast-park-hill"
"2014286595",2014-06-05,"1300 N ADAMS ST, Denver, CO","2","213","Burglary","NON-INDUSTRY
","congress-park"
"2016553502",2016-08-30,"330 S DAYTON ST, Denver, CO","3","321","Burglary","INDUSTRY
","windsor"
"2012175897",2012-04-28,"1811 S QUEBEC WAY, Denver, CO","3","322","Burglary","NON-INDUSTRY
","indian-creek"
"2012510486",2012-11-01,"2243 N FEDERAL BLVD, Denver, CO","1","121","Burglary","INDUSTRY
","sloan-lake"
"2012541011",2012-11-21,"2949 W ALAMEDA AVE, Denver, CO","4","411","Criminal Mischief-Property","INDUSTRY
","valverde"
"2013168365",2013-04-15,"1200 S ONEIDA ST, Denver, CO","3","322","Burglary","NON-INDUSTRY
","washington-virginia-vale"
"2012217786",2012-05-23,"N GRAPE ST / E 36TH AVE, Denver, CO","2","221","Auto Theft","INDUSTRY
","northeast-park-hill"
"2015557975",2015-09-26,"20 E 9TH AVE, Denver, CO","6","623","Drug Offenses","INDUSTRY
","capitol-hill"
"2014282243",2014-06-02,"1239 W NEVADA PL, Denver, CO","4","412","All Other Crimes","INDUSTRY
","athmar-park"
"201674971",2016-02-05,"2394 S BROADWAY ST, Denver, CO","3","313","Burglary","INDUSTRY
","rosedale"
"201628453",2016-01-14,"1127 S ELIZABETH ST, Denver, CO","3","312","Burglary","NON-INDUSTRY
","cory-merrill"
