"Business.File.Number","License.Type","Entity.Name","Trade.Name","Facility.Zip.Code","ADDRESS"
"2013-BFN-1068857","Marijuana Grow Center","4095 SHELTER, LLC","","80204","695 N Bryant ST , DENVER, CO"
"2013-BFN-1070236","Retail Marijuana Store","COLORADO FARMS, INC","LIGHTSHADE LABS","80239","11975 E 40TH AVE , DENVER, CO"
"2013-BFN-1069396","Retail Marijuana Store","DISCOUNT MEDICAL MARIJUANA LLC","HIGH LEVEL HEALTH","80203","970 N LINCOLN ST , DENVER, CO"
"2013-BFN-1069398","Marijuana Grow Center","DISCOUNT MEDICAL MARIJUANA LLC","HIGH LEVEL HEALTH","80223","395 N YUMA ST , DENVER, CO"
"2013-BFN-1068991","Retail Marijuana Store","NUTRITIONAL ELEMENTS, INC","THE HEALTH CENTER","80222","2777 S COLORADO BLVD , DENVER, CO"
"2013-BFN-1067616","Marijuana Grow Center","COLORADO HEALING, LLC","HEADQUARTERS","80209","5227 N MONROE ST , DENVER, CO"
"2013-BFN-1066866","Marijuana Grow Center","C.G. INDUSTRY, LLC","CROSS GENETICS","80216","4902 E SMITH RD , DENVER, CO"
"2013-BFN-1066869","Infrastructure Production Manufacturing","LOVE'S OVEN, LLC","","80223","225 N MARIPOSA ST , DENVER, CO"
"2013-BFN-1069076","Retail Marijuana Store","DGS, INC.","THE KIND ROOM","80210","1881 S BROADWAY  , DENVER, CO"
"2013-BFN-1069078","Retail Marijuana Store","PATIENTS CHOICE OF COLORADO, LLC","","80210","2251 S BROADWAY  , DENVER, CO"
"2013-BFN-1069262","Retail Marijuana Store","WALKING RAVEN II, LLC","WALKING RAVEN","80210","2001 S BROADWAY  , DENVER, CO"
"2013-BFN-1069022","Marijuana Grow Center","TREATMENTS UNLIMITED, LLC","ALTITUDE EAST","80216","4550 N JACKSON ST , DENVER, CO"
"2013-BFN-1067885","Marijuana Grow Center","KIND LOVE, LLC","","80239","4890 N JOLIET ST , DENVER, CO"
"2013-BFN-1069051","Retail Marijuana Store","NATURES CURE III, LLC","THE COLFAX POT SHOP","80218","1500 E COLFAX AVE , DENVER, CO"
"2014-BFN-1071771","Infrastructure Production Manufacturing","BETTER BAKED LLC","CAFE MARLEY","80239","3770 N PARIS ST , DENVER, CO"
"2014-BFN-0004432","Infrastructure Production Manufacturing","EC LABS, LLC","ENDOCANNA","80216","4300 N FOREST ST , DENVER, CO"
"2014-BFN-0003914","Marijuana Grow Center","JULIE CAMILLE, LLC","SWEET GRASS KITCHEN","80223","1135 S JASON ST , DENVER, CO"
"2014-BFN-0003885","Infrastructure Production Manufacturing","FOCUSED LABS, LLC","","80239","3795 N PARIS ST , DENVER, CO"
"2014-BFN-0003908","Medical Marijuana Center","PINEAPPLE EXCHANGE, LLC","PINEAPPLE EXCHANGE","80204","2895 W 8TH AVE , DENVER, CO"
"2014-BFN-0005447","Marijuana Grow Center","GANJA GOURMET LLC","GANJA GOURMET","80216","4902 E SMITH RD , DENVER, CO"
"2014-BFN-0005237","Marijuana Grow Center","COLORADO CANNABIS COMPANY LLC","PURE MEDICAL DISPENSARY","80239","5475 N PEORIA ST , DENVER, CO"
